Vcell	Icell	time
4.090140	2.160000	23.163667
4.089840	2.160000	23.197333
4.090140	2.160000	23.231000
4.090730	2.160000	23.264667
4.090140	2.160000	23.298333
4.091920	2.160000	23.332000
4.091620	2.160000	23.365667
4.092220	2.160000	23.399500
4.092810	2.160000	23.433167
4.092810	2.160000	23.466833
4.094000	2.160000	23.500667
4.095490	2.160000	23.534500
4.094000	2.160000	23.568167
4.094900	2.160000	23.601833
4.094000	2.160000	23.635667
4.095790	2.160000	23.669333
4.095190	2.160000	23.703167
4.095490	2.160000	23.737000
4.096380	2.160000	23.770667
4.096680	2.160000	23.804333
4.096980	2.160000	23.838000
4.099060	2.160000	23.871833
4.098460	2.160000	23.905500
4.098170	2.160000	23.939333
4.098170	2.160000	23.973167
4.098460	2.160000	24.007000
4.099950	2.160000	24.040667
4.100540	2.150000	24.074167
4.100250	2.160000	24.108000
4.100250	2.150000	24.141833
4.099060	2.160000	24.175667
4.100540	2.140000	24.209333
4.100250	2.140000	24.243000
4.101140	2.140000	24.276833
4.101140	2.130000	24.310667
4.099950	2.130000	24.344333
4.102330	2.130000	24.378167
4.101140	2.120000	24.411833
4.100250	2.120000	24.445667
4.098170	2.140000	24.479500
4.099060	2.130000	24.513333
4.099060	2.120000	24.547000
4.099350	2.120000	24.580833
4.099950	2.110000	24.614667
4.099060	2.110000	24.648500
4.100250	2.100000	24.682167
4.099950	2.110000	24.715833
4.099650	2.100000	24.749500
4.098170	2.100000	24.783333
4.100840	2.090000	24.817333
4.099350	2.090000	24.851000
4.099950	2.080000	24.884667
4.100250	2.080000	24.918500
4.099650	2.090000	24.952167
4.098760	2.090000	24.986167
4.101730	2.070000	25.019833
4.099650	2.080000	25.053667
4.101140	2.070000	25.087500
4.101140	2.070000	25.121167
4.100250	2.070000	25.155000
4.099650	2.060000	25.188667
4.100540	2.060000	25.222333
4.100250	2.060000	25.256333
4.100250	2.060000	25.290167
4.100540	2.060000	25.324000
4.099950	2.050000	25.357667
4.099950	2.050000	25.391333
4.100840	2.050000	25.425167
4.100540	2.030000	25.458833
4.099650	2.040000	25.492667
4.100250	2.030000	25.526333
4.100250	2.030000	25.560167
4.101730	2.030000	25.593833
4.100540	2.020000	25.627500
4.098460	2.030000	25.661333
4.101440	2.020000	25.695000
4.100250	2.020000	25.728833
4.100840	2.010000	25.762500
4.099950	2.020000	25.796167
4.100540	2.010000	25.830000
4.102030	2.010000	25.863833
4.100840	2.010000	25.897500
4.100540	2.000000	25.931500
4.100540	2.000000	25.965167
4.101140	2.000000	25.998833
4.100540	2.000000	26.032500
4.098760	2.000000	26.066167
4.100540	1.990000	26.099833
4.100540	1.990000	26.133667
4.100540	1.990000	26.167333
4.099650	1.980000	26.201167
4.100540	1.980000	26.235000
4.100840	1.970000	26.268667
4.100840	1.970000	26.302333
4.100840	1.970000	26.336000
